"family","path","title","category","action","evidence","release"
"document_template","/templates/invoice-template","Invoice","work","Create a fillable PDF","/template-samples/documents/invoice-template.pdf","updated"
"document_template","/templates/meeting-agenda-template","Meeting agenda","work","Create a fillable PDF","/template-samples/documents/meeting-agenda-template.pdf","new"
"document_template","/templates/meeting-minutes-template","Meeting minutes","work","Create a fillable PDF","/template-samples/documents/meeting-minutes-template.pdf","new"
"document_template","/templates/project-brief-template","Project brief","work","Create a fillable PDF","/template-samples/documents/project-brief-template.pdf","new"
"document_template","/templates/project-proposal-template","Project proposal","work","Create a fillable PDF","/template-samples/documents/project-proposal-template.pdf","new"
"document_template","/templates/project-checklist-template","Project checklist","work","Create a fillable PDF","/template-samples/documents/project-checklist-template.pdf","new"
"document_template","/templates/daily-planner-template","Daily planner","planning","Create a fillable PDF","/template-samples/documents/daily-planner-template.pdf","new"
"document_template","/templates/weekly-planner-template","Weekly planner","planning","Create a fillable PDF","/template-samples/documents/weekly-planner-template.pdf","new"
"document_template","/templates/study-planner-template","Study planner","planning","Create a fillable PDF","/template-samples/documents/study-planner-template.pdf","new"
"document_template","/templates/habit-tracker-template","Weekly habit tracker","planning","Create a fillable PDF","/template-samples/documents/habit-tracker-template.pdf","new"
"document_template","/templates/attendance-sheet-template","Attendance sheet","records","Create a fillable PDF","/template-samples/documents/attendance-sheet-template.pdf","new"
"document_template","/templates/expense-log-template","Expense log","records","Create a fillable PDF","/template-samples/documents/expense-log-template.pdf","new"
"document_template","/templates/timesheet-template","Weekly timesheet","records","Create a fillable PDF","/template-samples/documents/timesheet-template.pdf","new"
"document_template","/templates/inventory-sheet-template","Inventory sheet","records","Create a fillable PDF","/template-samples/documents/inventory-sheet-template.pdf","new"
"document_template","/templates/contact-list-template","Contact list","records","Create a fillable PDF","/template-samples/documents/contact-list-template.pdf","new"
"document_template","/templates/packing-checklist-template","Packing checklist","personal","Create a fillable PDF","/template-samples/documents/packing-checklist-template.pdf","new"
"document_template","/templates/reading-log-template","Reading log","personal","Create a fillable PDF","/template-samples/documents/reading-log-template.pdf","new"
"workflow","/pdf-workflows/merge-and-compress-pdf","Merge and compress PDF","pdf","Merge your PDFs -> Compress the combined PDF","/template-samples/workflow-a.pdf | /template-samples/workflow-b.pdf","new"
"workflow","/pdf-workflows/merge-pdf-and-add-page-numbers","Merge PDF and add page numbers","pdf","Merge the files in order -> Number the combined pages","/template-samples/workflow-a.pdf | /template-samples/workflow-b.pdf","new"
"workflow","/pdf-workflows/merge-pdf-and-watermark","Merge PDF and add a watermark","pdf","Combine the PDF pages -> Apply your text watermark","/template-samples/workflow-a.pdf | /template-samples/workflow-b.pdf","new"
"workflow","/pdf-workflows/extract-and-compress-pdf","Extract and compress PDF pages","pdf","Extract the selected pages -> Compress the selected PDF","/template-samples/workflow-a.pdf","new"
"workflow","/pdf-workflows/word-to-pdf-and-compress","Convert Word to PDF and compress","docx","Convert the DOCX to PDF -> Compress the converted PDF","/template-samples/illustrated.docx","new"
"workflow","/pdf-workflows/combine-word-documents-to-pdf","Combine Word documents into one PDF","docx","Convert each DOCX document -> Merge the converted PDFs","/template-samples/table.docx | /template-samples/illustrated.docx","new"
"hub","/templates","Free editable PDF templates","","","","new"
"collection","/templates/collections/work","Work & project PDF templates","work","","","new"
"collection","/templates/collections/planning","Planner PDF templates","planning","","","new"
"collection","/templates/collections/records","Log & record PDF templates","records","","","new"
"collection","/templates/collections/personal","Personal PDF templates","personal","","","new"
"hub","/pdf-workflows","PDF workflows","","","","new"
