"tool","slug","title","description","input","output","preset","samples","facts","checks","question","answer","tags","legacy"
"jpg-to-pdf","a4-portrait","JPG to A4 PDF — portrait","Place JPG or PNG images on portrait A4 pages with a 10 mm margin. Reorder your images and convert them here.","JPG / PNG images","One A4 PDF","{""pageSize"":""a4"",""orientation"":""portrait"",""margin"":""small"",""merge"":true}","[""portrait.jpg"",""landscape.jpg""]","[[""Page size"",""210 × 297 mm""],[""Starting margin"",""10 mm on each edge""],[""Image placement"",""Centered, fitted without cropping""],[""Download"",""One PDF, one image per page""]]","[""Both pages must be portrait A4, even when a source image is landscape."",""The entire source image should be visible; a wide image will have extra space above and below.""]","Will a landscape photo be cropped to fill A4?","No. It is scaled to fit inside the margins. The image proportions stay intact, so unused white space is expected.","[""a4"",""portrait"",""print"",""jpg"",""jpeg""]","jpg-images-to-a4-pdf"
"jpg-to-pdf","a4-landscape","JPG to A4 PDF — landscape","Convert wide JPG and PNG images to landscape A4 PDF pages. The landscape page size and 10 mm margins are already selected.","JPG / PNG images","One landscape A4 PDF","{""pageSize"":""a4"",""orientation"":""landscape"",""margin"":""small"",""merge"":true}","[""landscape.jpg""]","[[""Page size"",""297 × 210 mm""],[""Starting margin"",""10 mm on each edge""],[""Best fit"",""Wide pictures and diagrams""],[""Download"",""One PDF, one image per page""]]","[""Page width should be greater than its height."",""Labels near the left and right image edges should remain visible.""]","Does landscape mode rotate the picture?","It changes the PDF page orientation, not the picture itself. Use Rotate on the image card if the source image needs a quarter turn.","[""a4"",""landscape"",""wide"",""print""]",""
"jpg-to-pdf","letter-portrait","JPG to Letter PDF — portrait","Make an 8.5 × 11 inch PDF from JPG and PNG images. Start with portrait Letter pages and a small printable margin.","JPG / PNG images","One Letter PDF","{""pageSize"":""letter"",""orientation"":""portrait"",""margin"":""small"",""merge"":true}","[""portrait.jpg""]","[[""Page size"",""8.5 × 11 inches / 612 × 792 pt""],[""Starting margin"",""10 mm on each edge""],[""Orientation"",""Portrait for every image""],[""Download"",""One PDF""]]","[""Your PDF reader should report Letter, not A4."",""Choose actual size in your printer if you do not want an additional print scaling step.""]","Is Letter the same size as A4?","No. Letter is 8.5 × 11 inches. A4 is 210 × 297 mm. This template selects Letter explicitly.","[""letter"",""portrait"",""print"",""us""]","jpg-images-to-letter-pdf"
"jpg-to-pdf","letter-landscape","JPG to Letter PDF — landscape","Place wide images on 11 × 8.5 inch PDF pages. Convert on this page with landscape Letter settings already applied.","JPG / PNG images","One landscape Letter PDF","{""pageSize"":""letter"",""orientation"":""landscape"",""margin"":""small"",""merge"":true}","[""landscape.jpg""]","[[""Page size"",""11 × 8.5 inches / 792 × 612 pt""],[""Starting margin"",""10 mm on each edge""],[""Image placement"",""Fit, never stretched""],[""Download"",""One PDF""]]","[""The page should measure 792 × 612 PDF points."",""A portrait image should keep its shape with unused space on its sides.""]","Can portrait and landscape pictures share this PDF?","Yes. Every page uses landscape Letter, while each image keeps its original proportions. Reorder the cards before converting.","[""letter"",""landscape"",""wide"",""us""]",""
"jpg-to-pdf","image-size","JPG to PDF at image size","Create PDF pages that follow each image’s dimensions instead of forcing A4 or Letter. No additional margin is selected.","JPG / PNG images","One mixed-size PDF","{""pageSize"":""fit"",""orientation"":""auto"",""margin"":""none"",""merge"":true}","[""portrait.jpg"",""landscape.jpg""]","[[""Page dimensions"",""Image pixels × 0.75 PDF points""],[""Starting margin"",""None""],[""Orientation"",""Automatic, from each image""],[""Example"",""600 × 900 px becomes 450 × 675 pt""]]","[""The two sample pages should have different shapes."",""No extra border should be added outside the source image.""]","Does image size preserve the photo’s physical DPI metadata?","No. The converter uses 0.75 PDF points per pixel, equivalent to 96 pixels per inch. Very large pages are scaled to the PDF size limit. The source pixel dimensions determine the page shape.","[""original size"",""fit"",""no margin"",""mixed size""]",""
"jpg-to-pdf","a4-wide-margins","JPG to A4 PDF with wide margins","Leave room around each image for notes or binding. This template starts with portrait A4 and 20 mm margins.","JPG / PNG images","One A4 PDF with wide margins","{""pageSize"":""a4"",""orientation"":""portrait"",""margin"":""big"",""merge"":true}","[""portrait.jpg""]","[[""Page size"",""210 × 297 mm""],[""Starting margin"",""20 mm on each edge""],[""Image area"",""Fits within approximately 170 × 257 mm""],[""Download"",""One PDF""]]","[""The visible border should be wider than the standard A4 template."",""Image edges and the full picture should remain inside the white margin.""]","Can I change the margins after adding images?","Yes. The template supplies starting settings. Choose None, Small or Big in the workspace before converting; the PDF uses your final selection.","[""a4"",""wide margins"",""notes"",""binding""]",""
"jpg-to-pdf","transparent-png","Transparent PNG to PDF","Put a PNG with transparent areas onto an image-sized PDF page. Try the transparent sample or choose your own PNG.","PNG images with alpha transparency","One image-sized PDF","{""pageSize"":""fit"",""orientation"":""auto"",""margin"":""none"",""merge"":true}","[""transparent.png""]","[[""Input"",""PNG with an alpha channel""],[""Page size"",""Follows image dimensions""],[""Transparency"",""Embedded in the PDF image""],[""Viewer appearance"",""Transparent areas usually look white""]]","[""The sample’s colored shapes should not gain a black background."",""Check the PNG edges in the downloaded PDF at a high zoom.""]","Why does the transparent area look white in my PDF reader?","Most readers display the PDF page on a white canvas. The embedded PNG can still contain transparency; a white viewer background does not imply that the image was flattened to black or white.","[""png"",""transparent"",""alpha"",""image""]","png-transparency-to-pdf"
"jpg-to-pdf","separate-files","Convert images to separate PDF files","Get one PDF for each image, packaged in a ZIP. Combining images is turned off in this template.","Multiple JPG / PNG images","ZIP containing individual PDFs","{""pageSize"":""fit"",""orientation"":""auto"",""margin"":""none"",""merge"":false}","[""portrait.jpg"",""landscape.jpg""]","[[""Combine images"",""Off""],[""Page size"",""Follows each source image""],[""With two inputs"",""Two PDFs inside one ZIP""],[""With one input"",""A single PDF, not a ZIP""]]","[""The sample download should contain two PDFs, not a combined two-page PDF."",""Check each PDF filename and page shape after extracting the ZIP.""]","Does this split an existing PDF?","No. This template takes image files and makes a separate PDF for each one. Use Split PDF for an existing multi-page PDF.","[""batch"",""zip"",""individual"",""separate""]","images-to-separate-pdf-files"
"word-to-pdf","tables","Word tables to PDF","Convert a DOCX table using the browser-local Word renderer. Try a sample with a five-row table and a clickable link before using your document.","DOCX with tables","Visual PDF with supported links","","[""table.docx""]","[[""Sample"",""One document with 5 table rows including the header""],[""Page setup"",""Read from the DOCX""],[""Rendering"",""Visual pages; text is not selectable""],[""Links"",""Supported safe links become PDF annotations""]]","[""Verify all five sample table rows and both columns."",""Open the documentation link in the downloaded PDF and compare the table borders.""]","Will very large table rows always fit?","No. Rows taller than a page and other unsupported content can stop conversion. Break an oversized row into smaller rows, or use the document editor’s PDF export. Always compare page breaks.","[""docx"",""table"",""rows"",""links""]","docx-tables-to-pdf"
"word-to-pdf","embedded-images","Word with images to PDF","Convert a DOCX containing embedded pictures to a visual PDF. Use the sample to check the illustration, caption and image edges.","DOCX with embedded images","Visual PDF","","[""illustrated.docx""]","[[""Sample"",""An embedded PNG illustration and caption""],[""Images"",""Stored inside the DOCX, not remote URLs""],[""Page size"",""Read from the document""],[""Rendering"",""Image-based PDF pages""]]","[""The teal rectangle and orange circle should both appear."",""Check the caption and the full picture, including the right-hand edge.""]","Can the converter fetch linked images from the internet?","No. Remote images are blocked to keep conversion private and predictable. Embed the image in your Word file first; unsupported content produces an error rather than a text-only fallback.","[""docx"",""images"",""pictures"",""embedded""]","docx-embedded-images-to-pdf"
